@relation text
@attribute docs string
@attribute class {urgent,no_urgent}

@data
'Schedule meeting for project followup',no_urgent
'Buy tickets for Mogwai concert in the AB',no_urgent
'Buy new halogen spotlight',no_urgent
'Read chapter on SVM',no_urgent
'Finish assignment 1 for the advanced databases course due tomorrow',urgent
'Replace batteries of wireless mouse',no_urgent
'Buy present for my sisters birthday',no_urgent
'Bring car to the garage for winter tires',no_urgent
'Appointment with the doctor for a ?u vaccin',no_urgent
'Team building activity in Antwerp',no_urgent
'Play basketball match in Brussels',no_urgent
'Study the sproutcore documentation',no_urgent
'Buy new batteries for my camera',no_urgent
'Dinner with my wifes parents',no_urgent
'Fix kitchen shelf',no_urgent
'Create movie ontology with Protege tool',no_urgent
'Upgrade back-end servers to latest version',no_urgent
'Prepare presentation on test driven development due tomorrow',urgent
'Find holiday destination for next summer vacation',no_urgent
'Pick up Tom to play tennis',no_urgent
'Book family holiday',no_urgent
'Washing the dishes',no_urgent
'Finish paper on clustering',urgent
'Collect new credit card',no_urgent
'Organize company pick-nick',no_urgent
'Go to Erasmus info lecture',no_urgent
'Search quality papers for thesis',no_urgent
'Check Toledo for changed lecture room',no_urgent
'Ask for product refund',no_urgent
'Help dad clean his car',no_urgent
'Return travel guides to the library',no_urgent
'Check e-bay for bargains on comics',no_urgent
'Fill out ISP and examination dates by the end of this week',urgent
'Read articles about text classi?ers',no_urgent
'Fix bug in to-do application',no_urgent
'Buy new running shoes',no_urgent
'Write requirement specification for new project',no_urgent
'Buy Christmas presents for the kids',no_urgent
'Pay tuition fee',no_urgent
'Buy christmas gifts for family reunion',urgent
'Repair brother s bike',no_urgent
'Buy cinema tickets for next week',no_urgent
'Study chapter 7 of the Machine Learning course text',no_urgent
'Get birthday present for girlfriend s sister',urgent
'Give food to pet dinosaur',no_urgent
'Collect airplane tickets at travel agent',no_urgent
'Look for a summer job',no_urgent
'Go to bank to open savings account',no_urgent
'Go to the library to get new books',no_urgent
'Buy new running shoes',no_urgent
'E-mail Bart and Jos about the running race',no_urgent
'Create new appointment with thesis promotor',no_urgent
'Block credit card and request a new one at the bank',urgent
'Clean up mother s laptop',no_urgent
'Book a suprise city-trip for valentine',no_urgent
'Take the dog out for a walk',no_urgent
'Read new book on WordPress blogging',no_urgent
'Buy new webhosting for personal and school related blogs',no_urgent
'Sell shares of Dexia',urgent
'Visit grandma in the hospital',no_urgent
'Take out the garbage',no_urgent
'Invite Berlusconi and Merkel to dinner',no_urgent
'Buy winter tires for the trip to Germany',no_urgent
'Plan biking trip with Gert',no_urgent
'Buy pizza and beer at Delhaize',no_urgent
'Send a mail to Stefan and Philippe to organise a meeting',urgent
