@relation 'DatasetName: -C -15'
@attribute docs string
@attribute l_appointment {0,1}
@attribute l_chore {0,1}
@attribute l_family {0,1}
@attribute l_finance {0,1}
@attribute l_friends {0,1}
@attribute l_home {0,1}
@attribute l_leisure {0,1}
@attribute l_mlcourse {0,1}
@attribute l_reading {0,1}
@attribute l_school {0,1}
@attribute l_shop {0,1}
@attribute l_sport {0,1}
@attribute l_travel {0,1}
@attribute l_urgent {0,1}
@attribute l_work {0,1}

@data
'Schedule meeting for project followup',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Buy tickets for Mogwai concert in the AB',0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
'Buy new halogen spotlight',0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
'Read chapter on SVM',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
'Finish assignment 1 for the advanced databases course due tomorrow',0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'Replace batteries of wireless mouse',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Buy present for my sisters birthday',0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
'Bring car to the garage for winter tires',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Appointment with the doctor for a ?u vaccin',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Team building activity in Antwerp',1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Play basketball match in Brussels',1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
'Study the sproutcore documentation',0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
'Buy new batteries for my camera',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
'Dinner with my wifes parents',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Fix kitchen shelf',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Create movie ontology with Protege tool',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Upgrade back-end servers to latest version',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Prepare presentation on test driven development due tomorrow',0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
'Find holiday destination for next summer vacation',0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
'Pick up Tom to play tennis',1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
'Book family holiday',0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
'Washing the dishes',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Finish paper on clustering',0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
'Collect new credit card',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Organize company pick-nick',0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
'Go to Erasmus info lecture',1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
'Search quality papers for thesis',0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
'Check Toledo for changed lecture room',0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
'Ask for product refund',0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
'Help dad clean his car',0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
'Return travel guides to the library',0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
