@relation text
@attribute docs string
@attribute class {work,no_work}

@data
'Memoing in hProlog Bart Demoen Bart Demoen Bart Demoen Memoing bestaat erin om een doel samen met zijn antwoorden teonthouden en later die antwoorden te hergebuiken wanneer hetzelfdedoel wordt geactiveerd. Memoing bestaat ook in Java: een Memoizerclass kan dat implementeren. Memoing komt uit de functionele wereld enwerd in Prolog geintroduceerd zowat 25 jaar geleden. Ondertussen staathet als tabling bekent en is onmisbaar in heel wat applicaties. Voortabling in de Prolog context zijn drie componenten nodig: de triescomponent (die de producer-doelen met hun antwoord opslaat), descheduler (die producerende en consumerende doelen plant) en eencompletion component (die zo vroeg mogelijk producers en consumersafsluit). Onlangs is de tries component van Yap naar hProlog gedragen(hProlog is een eigen systeem dat we voor diverse implementatieexperimenten gebruiken sinds een tiental jaren): die tries zijn nuttigop zichzelf ook zonder tabling. De volgende logische stap is de anderetwee componenten van tabling te implementeren. Dat gebeurthoofdzakelijk in C. De design en implementatie van memoing in hProlog, met evaluatie. Het werk bestaat uit - literatuurstudie over tabling in Prolog - design van een implementatie van de scheduler en completion binnen  hProlog - implementatie van die modules - uitgebreide evaluatie van het systeem Voorkennis: Prolog, C of een C-verwante taal Programmeren zal in C en Prolog gebeuren.   Tabulation Techniques for Recursive Programs, Richard S. Bird, ACM Computing Surveys. 12(4) 1980  http://en.wikipedia.org/wiki/Memoization  http://www.cs.sunysb.edu/~warren/xsbbook/node14.html',no_work
'Multi-core programmeren in Prolog. Bart Demoen Bart Demoen Bart Demoen Een recente rij workshops over "Declarative Aspects of MulticoreProgramming" (DAMP) sluit aan bij de huidige trend om in een processormeerdere cores te steken die dan ook "aan de praat" moeten gehoudenworden: declaratieve methoden zijn daarvoor heel geschikt. Inacademiejaar 2010-2011 is in het kader van een bachelorproef eenimplementatie gemaakt van threading in hProlog (een Prolog systeemontwikkeld door de promotor). Tezamen levert dat genoeg stof voormeerdere interessante onderwerpen voor een masterproef: hetontwikkelen van een methode voor het schrijven van multicore Prologprogrammas; de transformatie van single core naar multicoreprogrammas, gebaseerd op declaraties of analyse; de optimalisatie vande thread-implementatie zelf; een vergelijking met wat andereprogrammeertalen aanbieden; het uitwerken van nieuwe applicaties... het is een domein waarin we veel interessante kanten op kunnen. Het uitwerken van ondersteuning van multi-code programmeren in Prolog m.b.v. een methodologie en programmatransformaties. Het werk bestaat uit - literatuurstudie over wat al bestaat, in het bijzonder de papers van  de afgelopen DAMP workshops, en implementaties van threading  libraries hProlog, en bijvoorbeeld SWI Prolog, XSB/Yap en B-Prolog,  en andere declaratieve talen zoals Erlang of Haskell - een verzameling van test programmas (benchmarks, show cases ...)  bestuderen en daaruit besluiten trekken voor een methodologie - programmatransformaties bedenken, al dan niet gebaseerd op declaraties - evaluatie  Programmeren is niet het hoofddoel van deze masterproef, maar als hetgebeurt is dat vooral in Prolog, en in C. Voorkennis: Prolog, noties van threads, kennis van C is niet essentieel. http://en.wikipedia.org/wiki/Multi-core_processor www.intel.com/intelpress/samples/mcp_samplech01.pdf http://damp2011.cs.uchicago.edu/',no_work
'Een garbage collector voor GNU-Prolog Bart Demoen Bart Demoen Bart Demoen GNU-Prolog is een van de meest gebruikte Prolog systemen en zoals zijnnaam aangeeft is het open-source. Sterke punten aan GNU-Prolog zijn o.a.(1) het genereert zeer compacte binaries en is dus geen emulator zoalsandere systemen (2) het heeft zeer efficiente constraint solvers (3)het is volledig conform aan de ISO standaard. Er zijn twee zwakkepunten aan GNU-Prolog: het heeft geen modulesysteem, en zijngeheugenbeheer is rudimentair. Aan dat laatste willen we iets doen inhet kader van deze masterproef, in het bijzonder willen we een garbagecollector voor GNU-Prolog ontwikkelen voor de runtime datastructuren(de Prologtermen) die op de heap staan. In de loop der jaren hebben weheel wat ervaring met het bouwen van garbage collectors voor Prologsystemen gekregen: Prolog-by-BIM, BinProlog, XSB, hProlog ... Weverwachten dat dit dus goed afloopt. Het werk bestaat uit - inwerken in de principes en algoritmen voor garbage collection (boek  van Lins-Jones) - inwerken in het compilatie- en uitvoeringsschema van GNU-Prolog (diverse  artikels van Diaz-Codognet) - Prolog-specifieke gc vereisten begrijpen (artikels van Bruynooghe/Demoen/Carlsson) - de root-set van een lopend GNU-Prolog volledig beschrijven (in  overleg met de auteurs van GNU-Prolog) - een gc algoritme kiezen (in overleg met de auteurs van GNU-Prolog) - de implementatie ervan - een evaluatie op een benchmarkset De GNU-Prolog implementatie wordt nog dagelijks verder ontwikkeld (inParijs door D. Diaz); het is dus belangrijk dat een duidelijkeinterface met de garbage collector gemaakt wordt. Een goed resultaat zal als artikel ingediend worden in een workshop ofconferentie, en leidt bijna zeker tot publicatie. Het ontwerp en de implementatie van een garbage collector voor GNU-Prolog, en de evaluatie van die implementatie.  - inwerken in de principes en algoritmen voor garbage collection (boek  van Lins-Jones) - inwerken in het compilatie- en uitvoeringsschema van GNU-Prolog (diverse  artikels van Diaz-Codognet) - Prolog-specifieke gc vereisten begrijpen (artikels van Bruynooghe/Demoen/Carlsson) - de root-set van een lopend GNU-Prolog volledig beschrijven (in  overleg met de auteurs van GNU-Prolog) - een gc algoritme kiezen (in overleg met de auteurs van GNU-Prolog) - de implementatie ervan - een evaluatie op een benchmarkset Liefst studenten die willen werken aan een open-source project encontact met de makers van GNU-Prolog verwelkomen.  Garbage Collection: Algorithms for Automatic Dynamic Memory Management; Richard JonesRafael D. Lins http://arxiv.org/abs/1012.2496 user.it.uu.se/~kostis/Papers/padl02.ps.gz',no_work
'Heuristieken en polynome reducties. Bart Demoen Bart Demoen Bart Demoen Vermits we er nog niet in slagen om NP-complete problemen in polynometijd op te lossen, zijn er heel wat heuristieken bedacht die voor eenspecifiek probleem toch dikwijls snel tot een oplossing komen (almoeten we altijd rekening houden met de no-free-lunch stelling vanWolpert en Macready). Nu kan elk NP-compleet probleem L1 polynoomgereduceerd worden naar elk (ander) NP-compleet probleem L2, en dankan je een heuristiek voor L2 combineren via die polynome reductie toteen heuristiek voor L1. Daarbij is er geen garantie dat die heuristiekvoor L1 zich goed gedraagt. Dat willen we juist onderzoeken in dezemasterproef. Eerst moet het probleem in algemene termen exactbeschreven worden. Daarna kan een specifiek probleem L1 en L2 gekozenworden (bijvoorbeeld Hamiltoniaanse Kring en SAT) om meer inzicht tekrijgen in de verbanden tussen de heuristieken voor die twee problemen. Het werk bestaat uit - literatuurstudie ivm heuristieken en polynome reducties - algemene formulering van het probleem - uitwerken van een concreet voorbeeld - besluiten ivm het concreet voorbeeld en eventuele veralgemening Het concrete voorbeeld geeft bijna zeker aanleiding tot programmeerwerk. De studie van het verband tussen heuristiek, specifiek probleem, polynome reductie en subset van problemen waarvoor een heuristiek werkt.  Het werk bestaat uit - literatuurstudie ivm heuristieken en polynome reducties - algemene formulering van het probleem - uitwerken van een concreet voorbeeld - besluiten ivm het concreet voorbeeld en eventuele veralgemening Het concrete voorbeeld geeft bijna zeker aanleiding tot programmeerwerk. Een of twee studenten met interesse voor theorie; veel voorkennis vanpolynome reducties of heuristieken is niet nodig; programmeren zalgebeuren in C of een declaratieve taal (Prolog/Haskell ...). De paper van Wolpert+Macready: http://ic.arc.nasa.gov/people/dhw/papers/78.pdf iets over polynome reducties: http://en.wikipedia.org/wiki/Polynomial_reducibility',no_work
'Model Checking Type Systems Dave Clarke Ilya Sergey Dave Clarke Dave Clarke Type systems are used to enforce a range of properties of programs, from simple type safety to the absence of data races in multi-threaded code. Programmers, compilers, run-time systems and other tools rely on type systems doing what they claim to do. If the type system is faulty, then extremely difficult to track down errors appear, leading to security holes and costly bug hunting. Small-sized type systems (such as those appearing in research papers) are often proven sound, but type systems for full-scale programming languages rarely undergo such scrutiny. Lightweight techniques are required to assist a type system designer to remove bugs from the type system in order to give more confidence in its correctness in the absence of a mechanically verified soundness proof. The goal of this project is to develop model checking techniques and a supporting tool for debugging type system specifications. The following results are expected:1. Techniques for translating a programming language s type system and operational semantics into input suitable for a model checking tool2. A tool to automate this process.3. An evaluation of the developed techniques using a number of case studies, in particular to determine the limitations of the approach. A good understanding and interest in the more theoretical aspects of computer science, such as automata theory and logic. Interest in programming languages, especially type systems. Willingness to learn a functional language (Haskell, OCaml or Scala). Daily supervision will be in English    Efficient Software Model Checking of Soundness of Type Systems   Type systems   Model checking',no_work
'Oplossen van grootschalige niet-lineaire eigenwaardenproblemen door middel van operaties op functies Wim Michiels Elias Jarlebring Wim Michiels Elias Jarlebring  De nood aan nauwkeurige wiskundige modellen heeft het onderzoek rond eigenwaardenproblemen gestuurd in de richting van zeer grote matrices enerzijds en niet-lineaire problemen anderzijds. Die niet-lineariteit verschijnt bijvoorbeeld in modellen voor systemen met tijdsvertragingen en systemen beschreven door differentiaalvergelijkingen van een hoge orde, die relevant zijn in heel wat toepassingen.   Recent onderzoek heeft aangetoond dat een willekeurig niet-lineair eigenwaardenprobleem geherformuleerd kan worden als een oneindig-dimensionaal lineair eigenwaardenprobleem. Het is oneindig-dimensionaal in de zin dat de eigenvector vervangen wordt door een continue functie, de zgn. eigenfunctie, en een operatie van een matrix op een vector door het integreren van een functie.   De zogenaamde Arnoldi methode is zeer populaire methode voor het oplossen van grootschalige lineaire eigenwaardenproblemen, gerelateerd aan de methode van de machten. Omdat de Arnoldi methode gebaseerd is op operaties op vectoren en het matrix-vector product, kan ze conceptueel uitgebreid worden naar oneindig-dimensionale eigenwaardenproblemen (geassocieerd met het niet-lineaire eigenwaardenprobleem), waarbij de operaties op vectoren vertaald worden naar bewerkingen op functies.  Het nieuwe Matlab pakket chebfun (Univ. Oxford) bevat numerieke (niet symbolische) software voor het manipuleren van functies met zeer hoge precisie. Het doel van de thesis is om de Arnoldi methode uit te werken en te implementeren voor oneindig-dimensionale lineaire eigenwaardenprobleem, daarbij steunend op het pakket chebfun. Dit opent perspectieven om grootschalige en niet-lineaire eigenwaardenproblemen zeer efficient en nauwkeurig op te lossen, en in een algemeen raamwerk. Bij het eindwerk komen eveneens heel wat wiskundige aspecten kijken, zoals het gebruik van verschillende scalaire producten en herstarten. Experimenten op verschillende types eigenwaardenproblemen zullen verder inzicht leveren in de werking van de methode.     literatuurstudie: de Arnoldi methode en niet-lineaire eigenwaardenproblemen   uitwerken van de methode en implementatie met behulp van chebfun   experimenten op toepassingen uit systemen en controle     Zowel theoretische als implementatie-aspecten. Software in MATLAB.  Voorkennis: basis lineaire algebra. Het kan nuttig zijn om in het 2de masterjaar het vak "Numerieke lineaire algebra" te volgen.    Het pakket chebfun .  Enkele artikels.',no_work
'Snelle methodes voor het oplossen van afstandsproblemen in de lineaire algebra Wim Michiels Wim Michiels Karl Meerbergen Jeroen DeVlieger Wim Michiels Afstandsproblemen zijn zeer belangrijk in de numerieke lineaire algebra en hebben zeer veel toepassingen in ingenieursdisciplines.  Modellen voor dynamische systemen worden immers vaak gekenmerkt door onzekerheid op parameters. Het is dan bijvoorbeeld belangrijk om na te gaan hoe groot de onzekerheid maximaal mag zijn zonder dat het systeem onstabiel wordt. Deze stabiliteitseis kan vertaald worden in een gewenste positie van eigenwaarden.  De bestaande methodes voor het oplossen van afstandsproblemen zijn bijzonder rekenintensief. Recent is een iteratieve methode voorgesteld die veelbelovend is om afstandsproblemen op een veel efficientere manier dan met de bestaande technieken op te lossen. Ze is gebaseerd op het herhaaldelijk berekenen van geselecteerde eigenwaarden van matrices. Het doel van de thesis is om deze methode uit te werken, te implementeren en te vergelijken met bestaande methodes. Daarbij kunnen zowel lineaire als niet-lineaire eigenwaardenproblemen (bijvoorbeeld veeltermeigenwaardenproblemen die voorkomen bij de analyse van trillingen) worden beschouwd.    literatuurstudie; experimenteren met software  uitwerken van de methode en implementatie   toepassing, benchmarking    Omvat zowel theoretische als implementatie-aspecten. Afhankelijk van de interesse van de student kan de nadruk naar een bepaalde richting verschoven worden.  Software in MATLAB.  Voorkennis: basis lineaire algebra.   Enkele artikels.',no_work
'Blocking Gibbs: het efficient combineren van logisch en probabilistisch redeneren Daan Fierens Nima Taghipour Hendrik Blockeel Daan Fierens Daan Fierens Nima Taghipour  Een van de grote uitdagingen binnen de artificiele intelligentie is het redeneren met zogenaamde  probabilistische logica s . In dit eindwerk maken we gebruik van  Markov Logic , wat eerste orde logica combineert met kansrekenen. Het redeneren ("inferentie") met Markov Logic heeft vele toepassingen in onder andere computer vision en analyse van sociale netwerken. Een van de voornaamste algoritmen voor inferentie met Markov Logic is het  MC-SAT  algoritme. MC-SAT maakt gebruik van zowel probabilistische technieken (sampling) als logische technieken (voor satisfiability of SAT solving). In de DTAI onderzoeksgroep zijn recent ideeen ontwikkeld voor een alternatief algoritme, gebaseerd op MC-SAT en het principe van  blocking Gibbs  sampling. Het doel van dit eindwerk is om dit algoritme verder uit te werken, efficient te implementeren, en experimenteel te testen. De uitwerking van dit eindwerk bestaat uit drie onderdelen.   Je implementeert een basis-algoritme. De grote lijnen van dit algoritme zijn reeds in ons onderzoek vastgelegd; daardoor is dit onderdeel voornamelijk implementatie-gericht. We hechten hierbij belang aan een efficiente en goed ontworpen implementatie (in C++ of eventueel Java, ...).   Je onderzoekt of het algoritme kan verbeterd worden met bijvoorbeeld slimmere heuristieken. Dit onderdeel is iets meer onderzoeksgericht, al krijg je hierbij wel ideeen aangereikt door je begeleiders.  Je voert experimenten uit waarin je de efficientie en nauwkeurigheid van je algoritme evalueert en vergelijkt met het bestaande MC-SAT algoritme. Datasets die hiervoor typisch gebruikt worden, hebben betrekking op collectieve classificatie van webpagina s en entiteitsresolutie in gegevensbanken (zie het  MC-SAT artikel ).   Je hebt interesse in artificiele intelligentie. Je bent goed in het efficient en overzichtelijk implementeren van algoritmen. Het MC-SAT artikel ( http://www.cs.washington.edu/homes/pedrod/papers/aaai06a.pdf , en de referenties daarin) biedt een goede introductie tot het onderzoeksgebied van probabilistisch-logische inferentie.',no_work
'Efficienter redeneren met probabilistische Prolog programma s Daan Fierens Maurice Bruynooghe Daan Fierens Daan Fierens Stef DePooter  ProbLog  is een probabilistische uitbreiding van logic programming of "pure Prolog". ProbLog heeft allerlei toepassingen binnen de artificiele intelligentie, zoals analyse van sociale netwerken, classificatie van webpagina s, .... Een ProbLog programma is een logisch programma plus een aantal "probabilistische feiten" (feiten die slechts met een bepaalde kans waar zijn). Het redeneren met een ProbLog programma, en de kansverdeling die het beschrijft, noemt men probabilistische inferentie. Gegeven een bepaalde inferentie-taak is de eerste stap vaak het  grounden  van het ProbLog programma. Omwille van efficientie-redenen zoekt men het kleinst mogelijke ground ProbLog programma dat toch nog alle informatie bevat die nodig is om de gegeven inferentie-taak op te lossen. De huidige "grounder" is echter heel eenvoudig en vindt een groter programma, wat tot tragere inferentie leidt. Je ontwikkelt en implementeert een geoptimaliseerde grounder voor ProbLog en test je grounder experimenteel uit. Er zijn twee strategieen om het ground programma zo klein mogelijk te maken. De bedoeling van het eindwerk is dat je beide strategieen bekijkt, aangezien ze complementair zijn.  De eerste strategie is om kennis van de waarheidswaarde van sommige atomen zoveel mogelijk uit te buiten door deze kennis te propageren doorheen het programma (dit kan toelaten bepaalde clauses/regels te schrappen of te verkorten en dus het programma kleiner te maken). Je kan hiervoor uitgaan van bestaande code van  GidL , de grounder voor de logische taal  FO(.) .  Het  eerste deel  van dit eindwerk bestaat uit het combineren van de GidL code met het ProbLog systeem, en het uitbreiden hiervan waar nodig (bijvoorbeeld aanpassen aan de probabilistische context). De tweede strategie is om het programma te beperken tot die regels die relevant zijn voor de gegeven inferentie-taak (de gegeven queries). Momenteel gebruiken we in ProbLog een eerder naieve methode hiervoor. Het  tweede deel  van de thesis bestaat dan ook uit het verder uitwerken en implementeren hiervan. Inspiratie hiervoor kan gehaald worden uit onder andere het  BayesBall  algoritme voor Bayesiaanse netwerken.    Het  derde deel  van het eindwerk bestaat uit het uitvoeren van experimenten met je grounder, om de efficientie te evalueren. Typische datasets voor zulke experimenten hebben betrekking op sociale netwerken, classificatie van webpagina s, ... . Je hebt interesse in logisch programmeren. Je hebt een basiskennis van Prolog en C++, of bent bereid dit te leren. Informatie over ProbLog vind je op de ProbLog website,  http://dtai.cs.kuleuven.be/problog/ .',no_work
'Snel en efficient een voxelrepresentatie genereren van een textielmodel Bart Verleye Dirk Roose stepan.lomov+mtm.kuleuven.be Dirk Roose stepan.lomov+mtm.kuleuven.be Bart Verleye Bart Verleye De permeabiliteit van textiel is een belangrijke parameter voor het simuleren van vloeistofinjectieprocessen. Deze processen worden gebruikt voor het aanmaken van composietmaterialen, toegepast in bijvoorbeeld snelle wagens en lichte vliegtuigen. De permeabiliteit van het textiel wordt berekend aan de hand van textielmodellen. Een vectorvoorstelling van het textiel is voorhanden voor mechanische (sterkte-)berekeningen. Maar om de permeabiliteit efficient te berekenen moet het vectormodel van het textiel omgezet worden in een voxelrepresentatie. Dit laatste betekent dat op een regelmatig 3D-rooster voor elke punt beslist moet worden of het al dan niet binnen een draad ligt. Voor fijne roosters leidt dit tot enorm veel rekentijd. Gegeven een vectormodel van een textiel, op een snelle manier tot een voxelrepresentatie komen.  1) Inzicht krijgen in het probleem, en in het huidige vectormodel. 2) Een nieuwe datastructuur ontwerpen, zodat de zoekopdracht veel efficienter kan gebeuren. 3) Samen met het vorige: ontwerp van een zoekalgoritme. 4) Implementatie van de datastructuur en zoekalgoritme in het huidige softwarepakket. Het softwarepakket werd reeds verkocht aan verschillende bedrijven en universiteiten. Dit is een zeer toegepaste thesis. C++;Niet nodig maar handig: Artificiele intelligentie, Graphics',no_work
