@relation text
@attribute docs string
@attribute class {family,no_family}

@data
'Schedule meeting for project followup',no_family
'Buy tickets for Mogwai concert in the AB',no_family
'Buy new halogen spotlight',no_family
'Read chapter on SVM',no_family
'Finish assignment 1 for the advanced databases course due tomorrow',no_family
'Replace batteries of wireless mouse',no_family
'Buy present for my sisters birthday',family
'Bring car to the garage for winter tires',no_family
'Appointment with the doctor for a ?u vaccin',no_family
'Team building activity in Antwerp',no_family
'Play basketball match in Brussels',no_family
'Study the sproutcore documentation',no_family
'Buy new batteries for my camera',no_family
'Dinner with my wifes parents',family
'Fix kitchen shelf',no_family
'Create movie ontology with Protege tool',no_family
'Upgrade back-end servers to latest version',no_family
'Prepare presentation on test driven development due tomorrow',no_family
'Find holiday destination for next summer vacation',family
'Pick up Tom to play tennis',no_family
'Book family holiday',family
'Washing the dishes',no_family
'Finish paper on clustering',no_family
'Collect new credit card',no_family
'Organize company pick-nick',no_family
'Go to Erasmus info lecture',no_family
'Search quality papers for thesis',no_family
'Check Toledo for changed lecture room',no_family
'Ask for product refund',no_family
'Help dad clean his car',family
'Return travel guides to the library',no_family
'Check e-bay for bargains on comics',no_family
'Fill out ISP and examination dates by the end of this week',no_family
'Read articles about text classi?ers',no_family
'Fix bug in to-do application',no_family
'Buy new running shoes',no_family
'Write requirement specification for new project',no_family
'Buy Christmas presents for the kids',family
'Pay tuition fee',no_family
'Buy christmas gifts for family reunion',family
'Repair brother s bike',family
'Buy cinema tickets for next week',no_family
'Study chapter 7 of the Machine Learning course text',no_family
'Get birthday present for girlfriend s sister',no_family
'Give food to pet dinosaur',no_family
'Collect airplane tickets at travel agent',no_family
'Look for a summer job',no_family
'Go to bank to open savings account',no_family
'Go to the library to get new books',no_family
'Buy new running shoes',no_family
'E-mail Bart and Jos about the running race',no_family
'Create new appointment with thesis promotor',no_family
'Block credit card and request a new one at the bank',no_family
'Clean up mother s laptop',family
'Book a suprise city-trip for valentine',no_family
'Take the dog out for a walk',no_family
'Read new book on WordPress blogging',no_family
'Buy new webhosting for personal and school related blogs',no_family
'Sell shares of Dexia',no_family
'Visit grandma in the hospital',family
'Take out the garbage',no_family
'Invite Berlusconi and Merkel to dinner',no_family
'Buy winter tires for the trip to Germany',no_family
'Plan biking trip with Gert',no_family
'Buy pizza and beer at Delhaize',no_family
'Send a mail to Stefan and Philippe to organise a meeting',no_family
'Send feedback about the report for Machine Learning',no_family
'Go running with a friend',no_family
'Read the next chapter in the textbook of Machine Learning',no_family
'Mow the lawn',no_family
'Watch a movie with family',family
'Do some thesis research',no_family
