@relation text
@attribute docs string
@attribute class {school,no_school}

@data
'Schedule meeting for project followup',no_school
'Buy tickets for Mogwai concert in the AB',no_school
'Buy new halogen spotlight',no_school
'Read chapter on SVM',school
'Finish assignment 1 for the advanced databases course due tomorrow',school
'Replace batteries of wireless mouse',no_school
'Buy present for my sisters birthday',no_school
'Bring car to the garage for winter tires',no_school
'Appointment with the doctor for a ?u vaccin',no_school
'Team building activity in Antwerp',no_school
'Play basketball match in Brussels',no_school
'Study the sproutcore documentation',school
'Buy new batteries for my camera',no_school
'Dinner with my wifes parents',no_school
'Fix kitchen shelf',no_school
'Create movie ontology with Protege tool',school
'Upgrade back-end servers to latest version',no_school
'Prepare presentation on test driven development due tomorrow',no_school
'Find holiday destination for next summer vacation',no_school
'Pick up Tom to play tennis',no_school
'Book family holiday',no_school
'Washing the dishes',no_school
'Finish paper on clustering',school
'Collect new credit card',no_school
'Organize company pick-nick',no_school
'Go to Erasmus info lecture',school
'Search quality papers for thesis',school
'Check Toledo for changed lecture room',school
'Ask for product refund',no_school
'Help dad clean his car',no_school
'Return travel guides to the library',no_school
'Check e-bay for bargains on comics',no_school
'Fill out ISP and examination dates by the end of this week',school
'Read articles about text classi?ers',school
'Fix bug in to-do application',school
'Buy new running shoes',no_school
'Write requirement specification for new project',no_school
'Buy Christmas presents for the kids',no_school
'Pay tuition fee',school
'Buy christmas gifts for family reunion',no_school
'Repair brother s bike',no_school
'Buy cinema tickets for next week',no_school
'Study chapter 7 of the Machine Learning course text',school
'Get birthday present for girlfriend s sister',no_school
'Give food to pet dinosaur',no_school
'Collect airplane tickets at travel agent',no_school
'Look for a summer job',no_school
'Go to bank to open savings account',no_school
'Go to the library to get new books',no_school
'Buy new running shoes',no_school
'E-mail Bart and Jos about the running race',no_school
'Create new appointment with thesis promotor',school
'Block credit card and request a new one at the bank',no_school
'Clean up mother s laptop',no_school
'Book a suprise city-trip for valentine',no_school
'Take the dog out for a walk',no_school
'Read new book on WordPress blogging',no_school
'Buy new webhosting for personal and school related blogs',school
'Sell shares of Dexia',no_school
'Visit grandma in the hospital',no_school
'Take out the garbage',no_school
'Invite Berlusconi and Merkel to dinner',no_school
'Buy winter tires for the trip to Germany',no_school
'Plan biking trip with Gert',no_school
'Buy pizza and beer at Delhaize',no_school
'Send a mail to Stefan and Philippe to organise a meeting',school
'Send feedback about the report for Machine Learning',school
'Go running with a friend',no_school
'Read the next chapter in the textbook of Machine Learning',no_school
'Mow the lawn',no_school
'Watch a movie with family',no_school
'Do some thesis research',school
'Implement an alogrithm for my thesis',school
'Clean my room',no_school
'Play a board game with friends',no_school
'wash the dishes',no_school
'throw a housewarming party',no_school
'send the MLII project planning',school
'buy vodka',no_school
'finish the financial report for this quartal',no_school
'visit your family abroad',no_school
'finish reading Goethe?s Faust',no_school
'build AI and destroy the world',no_school
'make a tenth todo for this todo list',school
'arrange delivery of the vodka to the Russian mafia',no_school
'go hunt some bear with the Russian mafia',no_school
'buy sigarettes',no_school
'buy a good computer',no_school
'make a dinner and eat it',no_school
'go to the hairdresser and cut your hair',no_school
'finish this report on time',school
'jump from the eiffel tower',no_school
'finish the website update for the company',no_school
'learn more about artificial neural networks',school
'pay the rent',no_school
'make an appointment at the dentist',no_school
'call my dad about this year?s christmas holiday plans',no_school
'read survey on word sense disambiguation for thesis',school
'plan meeting for machine learning project',school
'walk the dog',no_school
'do the ironing',no_school
'make a reservation at the restaurant for next saturday',no_school
'go jogging on sunday morning',no_school
'clean up my room',no_school
'go to the movies to see the new Tintin movie',no_school
'plan my birthday party',no_school
'visit Martine in Gent',no_school
'buy a new pair of jogging shoes and trousers in Maastricht',no_school
'arrange a meeting with my thesis supervisor',school
'check my bank account for the payment from my summer job',no_school
'start planning next year?s holiday',no_school
'call the hairdresser for an appointment for cutting and dying my hair',no_school
'buy the course text on machine learning',school
'wash and vacuum clean the car',no_school
'Read literature for ml-project',school
'Make appointment with the bank for a loan',no_school
'Book snowboardvacation for after the exams',no_school
'Plan a footballnight with Samson and Gert',no_school
'Go out for a drink',no_school
'Go jogging',no_school
'Buy new pair of shoes for work',no_school
'Read the eos',no_school
'Give invoice of university to mum',school
'Mow lawn at grandma s',no_school
'Work on the project for  Comparative Programming Languages ',school
'Meet up with the team for the  Comparative Programming Languages -project',school
'Write to do list',school
'Make presentation for lecture in Germany',no_school
'Buy books for classes',school
'Pay rent for  kot ',no_school
'Go to CW 2012 game night',school
'Give children their allowance',no_school
'Prepare schooltrip to the Netherlands',school
'Study for my test',school
'Play tennis',no_school
'Go to the lecture',school
'Apply for a new job',no_school
'Buy beer for the party this evening',no_school
'Read the new book of Stephen Hawking',no_school
'Arrange the ski trip',no_school
'Enjoy the weekend',no_school
'Pay my bills',no_school
'Discuss my paper at 16h',school
'Look for Christmas gifts',no_school
'Take the train home',no_school
'Visit my grandfather',no_school
'Watch a movie at the movie theater',no_school
'Go to the bakery',no_school
'Mow the grass',no_school
'Go to the bank tomorrow at 10h',no_school
'Wash my clothes',no_school
'Read some chapters of my textbook of machine learning',school
'Play guitar',no_school
'Buy and ship birthday present to Vidath.',no_school
'Look up information about connecting sproutcore to different kind of backends.',school
'Update centos running on vps to latest version.',no_school
'Inform about vps experation date.',no_school
'Pay final bill luminus for studio year 2010-2011.',no_school
'Cancel telenet subscription studio.',no_school
'inform about which version of aquabeat V2.0 decathlon is actually selling.',no_school
'Check review aquabeat V2.0.',no_school
'Pick up book at vtk.',school
'Read up on formal systems.',school
'Finish intermediate report for machine learning.',school
'Read up on computer graphics.',school
'Finish sequence diagrams distributed computing and add to report.',school
'Send in source code and report JEE2 assignment.',school
'Make appointment dentist',no_school
'Upgrade firmware NAS.',no_school
'Inform about repayment rent guarantee.',no_school
'Update forum software.',no_school
'Post letter from bank.',no_school
'Go shopping at Delhaize.',no_school
'Upload task Machine Learning to Toledo.',school
'Draw UML Class Diagram for Distributed Systems.',school
'Write roadbook for international youth camp.',no_school
'Have a drink at the pub Trawantel.',no_school
'Prepare inteview for World Diabetes Day with VTM News.',no_school
'Reply to the SMS I just received from my girlfriend.',no_school
'Draw my idea for a data visualisation for the advanced database systems course.',school
'Go cycling twice a week to keep fit.',no_school
'Rake the leaves from the grass.',no_school
'Go get my passport at the town hall before traveling to Dubai.',no_school
'Inform my teachers that I leave for ten days to Dubai.',school
'Get in touch with the international young leaders in diabetes.',no_school
'Go walking the 14th of November for World Diabetes Day.',no_school
'Read the last chapter of the Machine Learning course.',school
'Give my neighbor tutoring in math this evening at 7 pm.',school
'Clean up my room at Leuven.',no_school
'Pay the doctors cost.',no_school
'Read the local newspaper.',no_school
'Prepare the old years eve party.',no_school
'Do my daily excercises',no_school
'Thursday party',no_school
'Finish OSS project before deadline',no_school
'Read up on ML systems',no_school
'Go to barber on wednesday',no_school
'Go home at saturday',no_school
'Get a present for grandpa',no_school
'Sundays family meeting',no_school
'Mondays training',no_school
'Pay my registration at uni',school
'Pay my registration for mondays training',no_school
'Buy ingredients for tonights meal',no_school
'Cook meal',no_school
'Citytrip Amsterdam',no_school
'Read city info',no_school
'Pay citytryp',no_school
'Convert project report to PDF',no_school
'Run some miles',no_school
'Meet for project OSS',school
'Dinner at sammy s',no_school
'Pay monthly rent',no_school
'Have dinner with girlfriend',no_school
'Read literature for project',school
'Have winter tires put on car',no_school
'Buy christmas gifts for family',no_school
'Pay friend back for ski trip he booked',no_school
'Print directions to location of party on friday',no_school
'Work on school task',school
'Have a drink with friends on monday',no_school
'Do some groceries for mom',no_school
'Have a look at bank transactions',no_school
'Buy present for friend s birthday',no_school
'Maintain website',no_school
'Buy tickets to concert',no_school
'Feedback session of project',school
'Clean room',no_school
'Family weekend in the Ardennes',no_school
'Play tennis with girlfriend',no_school
'Keep up with courses',school
'Buy new snowboard',no_school
'Study my course of Lineaire Algebra',school
'Go home and pack my bags',no_school
'Finish PenO',school
'Buy new beer',no_school
'Get on time in class',school
'Go work in the alma',no_school
'Get dollars from the bank',no_school
'Call my friend to ask him about my diving bag',no_school
'Start to study the course of Machine Learning',school
'Go to the tutoring at 21h',school
'Watch the lecture of Stephen Hawking',no_school
'Send this nice girl from class a text message',school
'Call my mom',no_school
'Go to the dentist',no_school
'Fix my bike',no_school
'Calculate my finances',no_school
'Cook my dinner',no_school
'Watch the new episode of How I Met Your Mother',no_school
'Get some cash on my cellphone',no_school
'Buy birthday present for Sarah',no_school
'Register for lecture on google',no_school
'Write report for machine learning',school
'Request new student card',school
'Request new debit card',no_school
'Buy new wallet',no_school
'Schedule movie night',no_school
'Plan ski trip',no_school
'Pay electric bill',no_school
'Visit grandpa to fix his computer problems',no_school
'read articles on tag prediction',school
'Work on group project',school
'Yearly dentist',no_school
'Buy new laptop',no_school
'Return DVD-box to Yana',no_school
'Fix brakes on my bike',no_school
'Study for drivers licence',no_school
'Work on programming assignment with Wouter and Pieter, Monday',school
'Mow the lawn',no_school
'Poker night at old dormitory',no_school
'Fix ISP courses',school
