@relation text
@attribute docs string
@attribute class {friends,no_friends}

@data
'Schedule meeting for project followup',no_friends
'Buy tickets for Mogwai concert in the AB',no_friends
'Buy new halogen spotlight',no_friends
'Read chapter on SVM',no_friends
'Finish assignment 1 for the advanced databases course due tomorrow',no_friends
'Replace batteries of wireless mouse',no_friends
'Buy present for my sisters birthday',no_friends
'Bring car to the garage for winter tires',no_friends
'Appointment with the doctor for a ?u vaccin',no_friends
'Team building activity in Antwerp',no_friends
'Play basketball match in Brussels',no_friends
'Study the sproutcore documentation',no_friends
'Buy new batteries for my camera',no_friends
'Dinner with my wifes parents',no_friends
'Fix kitchen shelf',no_friends
'Create movie ontology with Protege tool',no_friends
'Upgrade back-end servers to latest version',no_friends
'Prepare presentation on test driven development due tomorrow',no_friends
'Find holiday destination for next summer vacation',no_friends
'Pick up Tom to play tennis',friends
'Book family holiday',no_friends
'Washing the dishes',no_friends
'Finish paper on clustering',no_friends
'Collect new credit card',no_friends
'Organize company pick-nick',no_friends
'Go to Erasmus info lecture',no_friends
'Search quality papers for thesis',no_friends
'Check Toledo for changed lecture room',no_friends
'Ask for product refund',no_friends
'Help dad clean his car',no_friends
'Return travel guides to the library',no_friends
'Check e-bay for bargains on comics',no_friends
'Fill out ISP and examination dates by the end of this week',no_friends
'Read articles about text classi?ers',no_friends
'Fix bug in to-do application',no_friends
'Buy new running shoes',no_friends
'Write requirement specification for new project',no_friends
'Buy Christmas presents for the kids',no_friends
'Pay tuition fee',no_friends
'Buy christmas gifts for family reunion',no_friends
'Repair brother s bike',no_friends
'Buy cinema tickets for next week',friends
'Study chapter 7 of the Machine Learning course text',no_friends
'Get birthday present for girlfriend s sister',no_friends
'Give food to pet dinosaur',no_friends
'Collect airplane tickets at travel agent',no_friends
'Look for a summer job',no_friends
'Go to bank to open savings account',no_friends
'Go to the library to get new books',no_friends
'Buy new running shoes',no_friends
'E-mail Bart and Jos about the running race',friends
'Create new appointment with thesis promotor',no_friends
'Block credit card and request a new one at the bank',no_friends
'Clean up mother s laptop',no_friends
'Book a suprise city-trip for valentine',no_friends
