@relation text
@attribute docs string
@attribute class {mlcourse,no_mlcourse}

@data
'Schedule meeting for project followup',no_mlcourse
'Buy tickets for Mogwai concert in the AB',no_mlcourse
'Buy new halogen spotlight',no_mlcourse
'Read chapter on SVM',mlcourse
'Finish assignment 1 for the advanced databases course due tomorrow',no_mlcourse
'Replace batteries of wireless mouse',no_mlcourse
'Buy present for my sisters birthday',no_mlcourse
'Bring car to the garage for winter tires',no_mlcourse
'Appointment with the doctor for a ?u vaccin',no_mlcourse
'Team building activity in Antwerp',no_mlcourse
'Play basketball match in Brussels',no_mlcourse
'Study the sproutcore documentation',mlcourse
'Buy new batteries for my camera',no_mlcourse
'Dinner with my wifes parents',no_mlcourse
'Fix kitchen shelf',no_mlcourse
'Create movie ontology with Protege tool',no_mlcourse
'Upgrade back-end servers to latest version',no_mlcourse
'Prepare presentation on test driven development due tomorrow',no_mlcourse
'Find holiday destination for next summer vacation',no_mlcourse
'Pick up Tom to play tennis',no_mlcourse
'Book family holiday',no_mlcourse
'Washing the dishes',no_mlcourse
'Finish paper on clustering',mlcourse
'Collect new credit card',no_mlcourse
'Organize company pick-nick',no_mlcourse
'Go to Erasmus info lecture',no_mlcourse
'Search quality papers for thesis',no_mlcourse
'Check Toledo for changed lecture room',mlcourse
'Ask for product refund',no_mlcourse
'Help dad clean his car',no_mlcourse
'Return travel guides to the library',no_mlcourse
'Check e-bay for bargains on comics',no_mlcourse
'Fill out ISP and examination dates by the end of this week',no_mlcourse
'Read articles about text classi?ers',mlcourse
'Fix bug in to-do application',mlcourse
'Buy new running shoes',no_mlcourse
'Write requirement specification for new project',no_mlcourse
'Buy Christmas presents for the kids',no_mlcourse
'Pay tuition fee',no_mlcourse
'Buy christmas gifts for family reunion',no_mlcourse
'Repair brother s bike',no_mlcourse
'Buy cinema tickets for next week',no_mlcourse
'Study chapter 7 of the Machine Learning course text',mlcourse
'Get birthday present for girlfriend s sister',no_mlcourse
'Give food to pet dinosaur',no_mlcourse
'Collect airplane tickets at travel agent',no_mlcourse
'Look for a summer job',no_mlcourse
'Go to bank to open savings account',no_mlcourse
'Go to the library to get new books',no_mlcourse
'Buy new running shoes',no_mlcourse
'E-mail Bart and Jos about the running race',no_mlcourse
'Create new appointment with thesis promotor',no_mlcourse
'Block credit card and request a new one at the bank',no_mlcourse
'Clean up mother s laptop',no_mlcourse
'Book a suprise city-trip for valentine',no_mlcourse
'Take the dog out for a walk',no_mlcourse
'Read new book on WordPress blogging',no_mlcourse
'Buy new webhosting for personal and school related blogs',no_mlcourse
'Sell shares of Dexia',no_mlcourse
'Visit grandma in the hospital',no_mlcourse
'Take out the garbage',no_mlcourse
'Invite Berlusconi and Merkel to dinner',no_mlcourse
'Buy winter tires for the trip to Germany',no_mlcourse
'Plan biking trip with Gert',no_mlcourse
'Buy pizza and beer at Delhaize',no_mlcourse
'Send a mail to Stefan and Philippe to organise a meeting',no_mlcourse
'Send feedback about the report for Machine Learning',mlcourse
'Go running with a friend',no_mlcourse
'Read the next chapter in the textbook of Machine Learning',mlcourse
'Mow the lawn',no_mlcourse
'Watch a movie with family',no_mlcourse
'Do some thesis research',no_mlcourse
'Implement an alogrithm for my thesis',no_mlcourse
'Clean my room',no_mlcourse
'Play a board game with friends',no_mlcourse
'wash the dishes',no_mlcourse
'throw a housewarming party',no_mlcourse
'send the MLII project planning',mlcourse
'buy vodka',no_mlcourse
'finish the financial report for this quartal',no_mlcourse
'visit your family abroad',no_mlcourse
'finish reading Goethe?s Faust',no_mlcourse
'build AI and destroy the world',mlcourse
'make a tenth todo for this todo list',mlcourse
'arrange delivery of the vodka to the Russian mafia',no_mlcourse
'go hunt some bear with the Russian mafia',no_mlcourse
'buy sigarettes',no_mlcourse
'buy a good computer',no_mlcourse
'make a dinner and eat it',no_mlcourse
'go to the hairdresser and cut your hair',no_mlcourse
'finish this report on time',mlcourse
'jump from the eiffel tower',no_mlcourse
'finish the website update for the company',no_mlcourse
'learn more about artificial neural networks',mlcourse
'pay the rent',no_mlcourse
'make an appointment at the dentist',no_mlcourse
'call my dad about this year?s christmas holiday plans',no_mlcourse
'read survey on word sense disambiguation for thesis',no_mlcourse
'plan meeting for machine learning project',mlcourse
'walk the dog',no_mlcourse
'do the ironing',no_mlcourse
'make a reservation at the restaurant for next saturday',no_mlcourse
'go jogging on sunday morning',no_mlcourse
'clean up my room',no_mlcourse
'go to the movies to see the new Tintin movie',no_mlcourse
'plan my birthday party',no_mlcourse
'visit Martine in Gent',no_mlcourse
'buy a new pair of jogging shoes and trousers in Maastricht',no_mlcourse
'arrange a meeting with my thesis supervisor',no_mlcourse
'check my bank account for the payment from my summer job',no_mlcourse
'start planning next year?s holiday',no_mlcourse
'call the hairdresser for an appointment for cutting and dying my hair',no_mlcourse
'buy the course text on machine learning',mlcourse
'wash and vacuum clean the car',no_mlcourse
'Read literature for ml-project',mlcourse
'Make appointment with the bank for a loan',no_mlcourse
'Book snowboardvacation for after the exams',no_mlcourse
'Plan a footballnight with Samson and Gert',no_mlcourse
'Go out for a drink',no_mlcourse
'Go jogging',no_mlcourse
'Buy new pair of shoes for work',no_mlcourse
'Read the eos',no_mlcourse
'Give invoice of university to mum',no_mlcourse
'Mow lawn at grandma s',no_mlcourse
'Work on the project for  Comparative Programming Languages ',no_mlcourse
'Meet up with the team for the  Comparative Programming Languages -project',no_mlcourse
'Write to do list',mlcourse
'Make presentation for lecture in Germany',no_mlcourse
'Buy books for classes',no_mlcourse
'Pay rent for  kot ',no_mlcourse
'Go to CW 2012 game night',no_mlcourse
'Give children their allowance',no_mlcourse
'Prepare schooltrip to the Netherlands',no_mlcourse
'Study for my test',no_mlcourse
'Play tennis',no_mlcourse
'Go to the lecture',mlcourse
'Apply for a new job',no_mlcourse
'Buy beer for the party this evening',no_mlcourse
'Read the new book of Stephen Hawking',no_mlcourse
'Arrange the ski trip',no_mlcourse
'Enjoy the weekend',no_mlcourse
'Pay my bills',no_mlcourse
'Discuss my paper at 16h',no_mlcourse
'Look for Christmas gifts',no_mlcourse
'Take the train home',no_mlcourse
'Visit my grandfather',no_mlcourse
'Watch a movie at the movie theater',no_mlcourse
'Go to the bakery',no_mlcourse
'Mow the grass',no_mlcourse
