@relation text
@attribute docs string
@attribute class {appointment,no_appointment}

@data
'Schedule meeting for project followup',no_appointment
'Buy tickets for Mogwai concert in the AB',no_appointment
'Buy new halogen spotlight',no_appointment
'Read chapter on SVM',no_appointment
'Finish assignment 1 for the advanced databases course due tomorrow',no_appointment
'Replace batteries of wireless mouse',no_appointment
'Buy present for my sisters birthday',no_appointment
'Bring car to the garage for winter tires',appointment
'Appointment with the doctor for a ?u vaccin',appointment
'Team building activity in Antwerp',appointment
'Play basketball match in Brussels',appointment
'Study the sproutcore documentation',no_appointment
'Buy new batteries for my camera',no_appointment
'Dinner with my wifes parents',appointment
'Fix kitchen shelf',no_appointment
'Create movie ontology with Protege tool',no_appointment
'Upgrade back-end servers to latest version',no_appointment
'Prepare presentation on test driven development due tomorrow',no_appointment
'Find holiday destination for next summer vacation',no_appointment
'Pick up Tom to play tennis',appointment
'Book family holiday',no_appointment
'Washing the dishes',no_appointment
'Finish paper on clustering',no_appointment
'Collect new credit card',no_appointment
'Organize company pick-nick',no_appointment
'Go to Erasmus info lecture',appointment
'Search quality papers for thesis',no_appointment
'Check Toledo for changed lecture room',no_appointment
'Ask for product refund',no_appointment
'Help dad clean his car',no_appointment
'Return travel guides to the library',no_appointment
'Check e-bay for bargains on comics',no_appointment
'Fill out ISP and examination dates by the end of this week',no_appointment
'Read articles about text classi?ers',no_appointment
'Fix bug in to-do application',no_appointment
'Buy new running shoes',no_appointment
'Write requirement specification for new project',no_appointment
'Buy Christmas presents for the kids',no_appointment
'Pay tuition fee',no_appointment
'Buy christmas gifts for family reunion',no_appointment
'Repair brother s bike',no_appointment
'Buy cinema tickets for next week',no_appointment
'Study chapter 7 of the Machine Learning course text',no_appointment
'Get birthday present for girlfriend s sister',no_appointment
'Give food to pet dinosaur',no_appointment
'Collect airplane tickets at travel agent',no_appointment
'Look for a summer job',no_appointment
'Go to bank to open savings account',no_appointment
'Go to the library to get new books',no_appointment
'Buy new running shoes',no_appointment
'E-mail Bart and Jos about the running race',no_appointment
'Create new appointment with thesis promotor',appointment
'Block credit card and request a new one at the bank',no_appointment
'Clean up mother s laptop',no_appointment
'Book a suprise city-trip for valentine',no_appointment
'Take the dog out for a walk',no_appointment
'Read new book on WordPress blogging',no_appointment
'Buy new webhosting for personal and school related blogs',no_appointment
'Sell shares of Dexia',no_appointment
'Visit grandma in the hospital',appointment
'Take out the garbage',no_appointment
