@relation text
@attribute docs string
@attribute class {reading,no_reading}

@data
'Schedule meeting for project followup',no_reading
'Buy tickets for Mogwai concert in the AB',no_reading
'Buy new halogen spotlight',no_reading
'Read chapter on SVM',reading
'Finish assignment 1 for the advanced databases course due tomorrow',no_reading
'Replace batteries of wireless mouse',no_reading
'Buy present for my sisters birthday',no_reading
'Bring car to the garage for winter tires',no_reading
'Appointment with the doctor for a ?u vaccin',no_reading
'Team building activity in Antwerp',no_reading
'Play basketball match in Brussels',no_reading
'Study the sproutcore documentation',no_reading
'Buy new batteries for my camera',no_reading
'Dinner with my wifes parents',no_reading
'Fix kitchen shelf',no_reading
'Create movie ontology with Protege tool',no_reading
'Upgrade back-end servers to latest version',no_reading
'Prepare presentation on test driven development due tomorrow',no_reading
'Find holiday destination for next summer vacation',no_reading
'Pick up Tom to play tennis',no_reading
'Book family holiday',no_reading
'Washing the dishes',no_reading
'Finish paper on clustering',no_reading
'Collect new credit card',no_reading
'Organize company pick-nick',no_reading
'Go to Erasmus info lecture',no_reading
'Search quality papers for thesis',reading
'Check Toledo for changed lecture room',no_reading
'Ask for product refund',no_reading
'Help dad clean his car',no_reading
'Return travel guides to the library',reading
'Check e-bay for bargains on comics',reading
'Fill out ISP and examination dates by the end of this week',no_reading
'Read articles about text classi?ers',reading
'Fix bug in to-do application',no_reading
'Buy new running shoes',no_reading
'Write requirement specification for new project',no_reading
'Buy Christmas presents for the kids',no_reading
'Pay tuition fee',no_reading
'Buy christmas gifts for family reunion',no_reading
'Repair brother s bike',no_reading
'Buy cinema tickets for next week',no_reading
'Study chapter 7 of the Machine Learning course text',reading
'Get birthday present for girlfriend s sister',no_reading
'Give food to pet dinosaur',no_reading
'Collect airplane tickets at travel agent',no_reading
'Look for a summer job',no_reading
'Go to bank to open savings account',no_reading
'Go to the library to get new books',reading
'Buy new running shoes',no_reading
'E-mail Bart and Jos about the running race',no_reading
'Create new appointment with thesis promotor',no_reading
'Block credit card and request a new one at the bank',no_reading
'Clean up mother s laptop',no_reading
'Book a suprise city-trip for valentine',no_reading
'Take the dog out for a walk',no_reading
'Read new book on WordPress blogging',reading
'Buy new webhosting for personal and school related blogs',no_reading
'Sell shares of Dexia',no_reading
'Visit grandma in the hospital',no_reading
'Take out the garbage',no_reading
'Invite Berlusconi and Merkel to dinner',no_reading
'Buy winter tires for the trip to Germany',no_reading
'Plan biking trip with Gert',no_reading
'Buy pizza and beer at Delhaize',no_reading
'Send a mail to Stefan and Philippe to organise a meeting',no_reading
'Send feedback about the report for Machine Learning',no_reading
'Go running with a friend',no_reading
