@relation text
@attribute docs string
@attribute class {sport,no_sport}

@data
'Schedule meeting for project followup',no_sport
'Buy tickets for Mogwai concert in the AB',no_sport
'Buy new halogen spotlight',no_sport
'Read chapter on SVM',no_sport
'Finish assignment 1 for the advanced databases course due tomorrow',no_sport
'Replace batteries of wireless mouse',no_sport
'Buy present for my sisters birthday',no_sport
'Bring car to the garage for winter tires',no_sport
'Appointment with the doctor for a ?u vaccin',no_sport
'Team building activity in Antwerp',no_sport
'Play basketball match in Brussels',sport
'Study the sproutcore documentation',no_sport
'Buy new batteries for my camera',no_sport
'Dinner with my wifes parents',no_sport
'Fix kitchen shelf',no_sport
'Create movie ontology with Protege tool',no_sport
'Upgrade back-end servers to latest version',no_sport
'Prepare presentation on test driven development due tomorrow',no_sport
'Find holiday destination for next summer vacation',no_sport
'Pick up Tom to play tennis',sport
'Book family holiday',no_sport
'Washing the dishes',no_sport
'Finish paper on clustering',no_sport
'Collect new credit card',no_sport
'Organize company pick-nick',no_sport
'Go to Erasmus info lecture',no_sport
'Search quality papers for thesis',no_sport
'Check Toledo for changed lecture room',no_sport
'Ask for product refund',no_sport
'Help dad clean his car',no_sport
'Return travel guides to the library',no_sport
'Check e-bay for bargains on comics',no_sport
'Fill out ISP and examination dates by the end of this week',no_sport
'Read articles about text classi?ers',no_sport
'Fix bug in to-do application',no_sport
'Buy new running shoes',sport
'Write requirement specification for new project',no_sport
'Buy Christmas presents for the kids',no_sport
'Pay tuition fee',no_sport
'Buy christmas gifts for family reunion',no_sport
'Repair brother s bike',no_sport
'Buy cinema tickets for next week',no_sport
'Study chapter 7 of the Machine Learning course text',no_sport
'Get birthday present for girlfriend s sister',no_sport
'Give food to pet dinosaur',no_sport
'Collect airplane tickets at travel agent',no_sport
'Look for a summer job',no_sport
'Go to bank to open savings account',no_sport
'Go to the library to get new books',no_sport
'Buy new running shoes',sport
'E-mail Bart and Jos about the running race',sport
'Create new appointment with thesis promotor',no_sport
'Block credit card and request a new one at the bank',no_sport
'Clean up mother s laptop',no_sport
'Book a suprise city-trip for valentine',no_sport
'Take the dog out for a walk',no_sport
'Read new book on WordPress blogging',no_sport
'Buy new webhosting for personal and school related blogs',no_sport
'Sell shares of Dexia',no_sport
'Visit grandma in the hospital',no_sport
'Take out the garbage',no_sport
'Invite Berlusconi and Merkel to dinner',no_sport
'Buy winter tires for the trip to Germany',no_sport
'Plan biking trip with Gert',sport
'Buy pizza and beer at Delhaize',no_sport
'Send a mail to Stefan and Philippe to organise a meeting',no_sport
'Send feedback about the report for Machine Learning',no_sport
'Go running with a friend',sport
'Read the next chapter in the textbook of Machine Learning',no_sport
'Mow the lawn',no_sport
'Watch a movie with family',no_sport
'Do some thesis research',no_sport
'Implement an alogrithm for my thesis',no_sport
'Clean my room',no_sport
'Play a board game with friends',no_sport
'wash the dishes',no_sport
'throw a housewarming party',no_sport
'send the MLII project planning',no_sport
'buy vodka',no_sport
'finish the financial report for this quartal',no_sport
'visit your family abroad',no_sport
'finish reading Goethe?s Faust',no_sport
'build AI and destroy the world',no_sport
'make a tenth todo for this todo list',no_sport
'arrange delivery of the vodka to the Russian mafia',no_sport
'go hunt some bear with the Russian mafia',sport
'buy sigarettes',no_sport
'buy a good computer',no_sport
'make a dinner and eat it',no_sport
'go to the hairdresser and cut your hair',no_sport
'finish this report on time',no_sport
'jump from the eiffel tower',no_sport
'finish the website update for the company',no_sport
'learn more about artificial neural networks',no_sport
'pay the rent',no_sport
'make an appointment at the dentist',no_sport
'call my dad about this year?s christmas holiday plans',no_sport
'read survey on word sense disambiguation for thesis',no_sport
'plan meeting for machine learning project',no_sport
'walk the dog',no_sport
'do the ironing',no_sport
'make a reservation at the restaurant for next saturday',no_sport
'go jogging on sunday morning',sport
'clean up my room',no_sport
'go to the movies to see the new Tintin movie',no_sport
'plan my birthday party',no_sport
'visit Martine in Gent',no_sport
'buy a new pair of jogging shoes and trousers in Maastricht',sport
'arrange a meeting with my thesis supervisor',no_sport
'check my bank account for the payment from my summer job',no_sport
'start planning next year?s holiday',no_sport
'call the hairdresser for an appointment for cutting and dying my hair',no_sport
'buy the course text on machine learning',no_sport
'wash and vacuum clean the car',no_sport
'Read literature for ml-project',no_sport
'Make appointment with the bank for a loan',no_sport
'Book snowboardvacation for after the exams',sport
'Plan a footballnight with Samson and Gert',sport
'Go out for a drink',no_sport
'Go jogging',sport
'Buy new pair of shoes for work',no_sport
'Read the eos',no_sport
'Give invoice of university to mum',no_sport
'Mow lawn at grandma s',no_sport
'Work on the project for  Comparative Programming Languages ',no_sport
'Meet up with the team for the  Comparative Programming Languages -project',no_sport
'Write to do list',no_sport
'Make presentation for lecture in Germany',no_sport
'Buy books for classes',no_sport
'Pay rent for  kot ',no_sport
'Go to CW 2012 game night',no_sport
'Give children their allowance',no_sport
'Prepare schooltrip to the Netherlands',no_sport
'Study for my test',no_sport
'Play tennis',sport
'Go to the lecture',no_sport
'Apply for a new job',no_sport
'Buy beer for the party this evening',no_sport
'Read the new book of Stephen Hawking',no_sport
'Arrange the ski trip',sport
'Enjoy the weekend',no_sport
'Pay my bills',no_sport
'Discuss my paper at 16h',no_sport
'Look for Christmas gifts',no_sport
'Take the train home',no_sport
'Visit my grandfather',no_sport
'Watch a movie at the movie theater',no_sport
'Go to the bakery',no_sport
'Mow the grass',no_sport
'Go to the bank tomorrow at 10h',no_sport
'Wash my clothes',no_sport
'Read some chapters of my textbook of machine learning',no_sport
'Play guitar',no_sport
'Buy and ship birthday present to Vidath.',no_sport
