@relation text
@attribute docs string
@attribute class {leisure,no_leisure}

@data
'Schedule meeting for project followup',no_leisure
'Buy tickets for Mogwai concert in the AB',leisure
'Buy new halogen spotlight',no_leisure
'Read chapter on SVM',no_leisure
'Finish assignment 1 for the advanced databases course due tomorrow',no_leisure
'Replace batteries of wireless mouse',no_leisure
'Buy present for my sisters birthday',no_leisure
'Bring car to the garage for winter tires',no_leisure
'Appointment with the doctor for a ?u vaccin',no_leisure
'Team building activity in Antwerp',no_leisure
'Play basketball match in Brussels',no_leisure
'Study the sproutcore documentation',no_leisure
'Buy new batteries for my camera',no_leisure
'Dinner with my wifes parents',no_leisure
'Fix kitchen shelf',no_leisure
'Create movie ontology with Protege tool',no_leisure
'Upgrade back-end servers to latest version',no_leisure
'Prepare presentation on test driven development due tomorrow',no_leisure
'Find holiday destination for next summer vacation',no_leisure
'Pick up Tom to play tennis',leisure
'Book family holiday',no_leisure
'Washing the dishes',no_leisure
'Finish paper on clustering',no_leisure
'Collect new credit card',no_leisure
'Organize company pick-nick',leisure
'Go to Erasmus info lecture',no_leisure
'Search quality papers for thesis',no_leisure
'Check Toledo for changed lecture room',no_leisure
'Ask for product refund',no_leisure
'Help dad clean his car',no_leisure
'Return travel guides to the library',no_leisure
'Check e-bay for bargains on comics',leisure
'Fill out ISP and examination dates by the end of this week',no_leisure
'Read articles about text classi?ers',no_leisure
'Fix bug in to-do application',no_leisure
'Buy new running shoes',no_leisure
'Write requirement specification for new project',no_leisure
'Buy Christmas presents for the kids',no_leisure
'Pay tuition fee',no_leisure
'Buy christmas gifts for family reunion',no_leisure
'Repair brother s bike',no_leisure
'Buy cinema tickets for next week',leisure
'Study chapter 7 of the Machine Learning course text',no_leisure
'Get birthday present for girlfriend s sister',no_leisure
'Give food to pet dinosaur',no_leisure
'Collect airplane tickets at travel agent',leisure
'Look for a summer job',no_leisure
'Go to bank to open savings account',no_leisure
'Go to the library to get new books',leisure
'Buy new running shoes',leisure
'E-mail Bart and Jos about the running race',leisure
'Create new appointment with thesis promotor',no_leisure
'Block credit card and request a new one at the bank',no_leisure
'Clean up mother s laptop',no_leisure
'Book a suprise city-trip for valentine',leisure
'Take the dog out for a walk',leisure
'Read new book on WordPress blogging',leisure
'Buy new webhosting for personal and school related blogs',leisure
'Sell shares of Dexia',no_leisure
'Visit grandma in the hospital',no_leisure
'Take out the garbage',no_leisure
'Invite Berlusconi and Merkel to dinner',no_leisure
'Buy winter tires for the trip to Germany',no_leisure
'Plan biking trip with Gert',leisure
'Buy pizza and beer at Delhaize',no_leisure
'Send a mail to Stefan and Philippe to organise a meeting',no_leisure
'Send feedback about the report for Machine Learning',no_leisure
'Go running with a friend',no_leisure
'Read the next chapter in the textbook of Machine Learning',no_leisure
'Mow the lawn',no_leisure
'Watch a movie with family',leisure
'Do some thesis research',no_leisure
'Implement an alogrithm for my thesis',no_leisure
'Clean my room',no_leisure
'Play a board game with friends',leisure
'wash the dishes',no_leisure
'throw a housewarming party',no_leisure
'send the MLII project planning',no_leisure
'buy vodka',leisure
'finish the financial report for this quartal',no_leisure
'visit your family abroad',no_leisure
'finish reading Goethe?s Faust',leisure
'build AI and destroy the world',leisure
'make a tenth todo for this todo list',no_leisure
'arrange delivery of the vodka to the Russian mafia',no_leisure
'go hunt some bear with the Russian mafia',leisure
'buy sigarettes',no_leisure
'buy a good computer',no_leisure
'make a dinner and eat it',no_leisure
'go to the hairdresser and cut your hair',no_leisure
'finish this report on time',no_leisure
'jump from the eiffel tower',leisure
'finish the website update for the company',no_leisure
