@relation text
@attribute docs string
@attribute class {finance,no_finance}

@data
'Schedule meeting for project followup',no_finance
'Buy tickets for Mogwai concert in the AB',no_finance
'Buy new halogen spotlight',no_finance
'Read chapter on SVM',no_finance
'Finish assignment 1 for the advanced databases course due tomorrow',no_finance
'Replace batteries of wireless mouse',no_finance
'Buy present for my sisters birthday',no_finance
'Bring car to the garage for winter tires',no_finance
'Appointment with the doctor for a ?u vaccin',no_finance
'Team building activity in Antwerp',no_finance
'Play basketball match in Brussels',no_finance
'Study the sproutcore documentation',no_finance
'Buy new batteries for my camera',no_finance
'Dinner with my wifes parents',no_finance
'Fix kitchen shelf',no_finance
'Create movie ontology with Protege tool',no_finance
'Upgrade back-end servers to latest version',no_finance
'Prepare presentation on test driven development due tomorrow',no_finance
'Find holiday destination for next summer vacation',no_finance
'Pick up Tom to play tennis',no_finance
'Book family holiday',no_finance
'Washing the dishes',no_finance
'Finish paper on clustering',no_finance
'Collect new credit card',finance
'Organize company pick-nick',no_finance
'Go to Erasmus info lecture',no_finance
'Search quality papers for thesis',no_finance
'Check Toledo for changed lecture room',no_finance
'Ask for product refund',finance
'Help dad clean his car',no_finance
'Return travel guides to the library',no_finance
'Check e-bay for bargains on comics',no_finance
'Fill out ISP and examination dates by the end of this week',no_finance
'Read articles about text classi?ers',no_finance
'Fix bug in to-do application',no_finance
'Buy new running shoes',no_finance
'Write requirement specification for new project',no_finance
'Buy Christmas presents for the kids',no_finance
'Pay tuition fee',finance
'Buy christmas gifts for family reunion',no_finance
'Repair brother s bike',no_finance
'Buy cinema tickets for next week',no_finance
'Study chapter 7 of the Machine Learning course text',no_finance
'Get birthday present for girlfriend s sister',no_finance
'Give food to pet dinosaur',no_finance
'Collect airplane tickets at travel agent',no_finance
'Look for a summer job',finance
'Go to bank to open savings account',finance
'Go to the library to get new books',no_finance
'Buy new running shoes',no_finance
'E-mail Bart and Jos about the running race',no_finance
'Create new appointment with thesis promotor',no_finance
'Block credit card and request a new one at the bank',finance
'Clean up mother s laptop',no_finance
'Book a suprise city-trip for valentine',no_finance
'Take the dog out for a walk',no_finance
'Read new book on WordPress blogging',no_finance
'Buy new webhosting for personal and school related blogs',no_finance
'Sell shares of Dexia',finance
'Visit grandma in the hospital',no_finance
'Take out the garbage',no_finance
'Invite Berlusconi and Merkel to dinner',no_finance
'Buy winter tires for the trip to Germany',no_finance
'Plan biking trip with Gert',no_finance
'Buy pizza and beer at Delhaize',no_finance
'Send a mail to Stefan and Philippe to organise a meeting',no_finance
'Send feedback about the report for Machine Learning',no_finance
'Go running with a friend',no_finance
'Read the next chapter in the textbook of Machine Learning',no_finance
'Mow the lawn',no_finance
'Watch a movie with family',no_finance
'Do some thesis research',no_finance
'Implement an alogrithm for my thesis',no_finance
'Clean my room',no_finance
'Play a board game with friends',no_finance
'wash the dishes',no_finance
'throw a housewarming party',no_finance
'send the MLII project planning',no_finance
'buy vodka',no_finance
'finish the financial report for this quartal',finance
'visit your family abroad',no_finance
'finish reading Goethe?s Faust',no_finance
'build AI and destroy the world',no_finance
'make a tenth todo for this todo list',no_finance
'arrange delivery of the vodka to the Russian mafia',no_finance
