@relation text
@attribute docs string
@attribute class {travel,no_travel}

@data
'Schedule meeting for project followup',no_travel
'Buy tickets for Mogwai concert in the AB',no_travel
'Buy new halogen spotlight',no_travel
'Read chapter on SVM',no_travel
'Finish assignment 1 for the advanced databases course due tomorrow',no_travel
'Replace batteries of wireless mouse',no_travel
'Buy present for my sisters birthday',no_travel
'Bring car to the garage for winter tires',no_travel
'Appointment with the doctor for a ?u vaccin',no_travel
'Team building activity in Antwerp',no_travel
'Play basketball match in Brussels',no_travel
'Study the sproutcore documentation',no_travel
'Buy new batteries for my camera',no_travel
'Dinner with my wifes parents',no_travel
'Fix kitchen shelf',no_travel
'Create movie ontology with Protege tool',no_travel
'Upgrade back-end servers to latest version',no_travel
'Prepare presentation on test driven development due tomorrow',no_travel
'Find holiday destination for next summer vacation',travel
'Pick up Tom to play tennis',no_travel
'Book family holiday',travel
'Washing the dishes',no_travel
'Finish paper on clustering',no_travel
'Collect new credit card',no_travel
'Organize company pick-nick',no_travel
'Go to Erasmus info lecture',travel
'Search quality papers for thesis',no_travel
'Check Toledo for changed lecture room',no_travel
'Ask for product refund',no_travel
'Help dad clean his car',no_travel
'Return travel guides to the library',travel
'Check e-bay for bargains on comics',no_travel
'Fill out ISP and examination dates by the end of this week',no_travel
'Read articles about text classi?ers',no_travel
'Fix bug in to-do application',no_travel
'Buy new running shoes',no_travel
'Write requirement specification for new project',no_travel
'Buy Christmas presents for the kids',no_travel
'Pay tuition fee',no_travel
'Buy christmas gifts for family reunion',no_travel
'Repair brother s bike',no_travel
'Buy cinema tickets for next week',no_travel
'Study chapter 7 of the Machine Learning course text',no_travel
'Get birthday present for girlfriend s sister',no_travel
'Give food to pet dinosaur',no_travel
'Collect airplane tickets at travel agent',travel
'Look for a summer job',no_travel
'Go to bank to open savings account',no_travel
'Go to the library to get new books',no_travel
'Buy new running shoes',no_travel
'E-mail Bart and Jos about the running race',no_travel
'Create new appointment with thesis promotor',no_travel
'Block credit card and request a new one at the bank',no_travel
'Clean up mother s laptop',no_travel
'Book a suprise city-trip for valentine',travel
'Take the dog out for a walk',no_travel
'Read new book on WordPress blogging',no_travel
'Buy new webhosting for personal and school related blogs',no_travel
'Sell shares of Dexia',no_travel
'Visit grandma in the hospital',no_travel
'Take out the garbage',no_travel
'Invite Berlusconi and Merkel to dinner',no_travel
'Buy winter tires for the trip to Germany',travel
'Plan biking trip with Gert',no_travel
'Buy pizza and beer at Delhaize',no_travel
'Send a mail to Stefan and Philippe to organise a meeting',no_travel
'Send feedback about the report for Machine Learning',no_travel
'Go running with a friend',no_travel
'Read the next chapter in the textbook of Machine Learning',no_travel
'Mow the lawn',no_travel
'Watch a movie with family',no_travel
'Do some thesis research',no_travel
'Implement an alogrithm for my thesis',no_travel
'Clean my room',no_travel
'Play a board game with friends',no_travel
'wash the dishes',no_travel
'throw a housewarming party',no_travel
'send the MLII project planning',no_travel
'buy vodka',no_travel
'finish the financial report for this quartal',no_travel
'visit your family abroad',travel
'finish reading Goethe?s Faust',no_travel
'build AI and destroy the world',no_travel
'make a tenth todo for this todo list',no_travel
'arrange delivery of the vodka to the Russian mafia',no_travel
'go hunt some bear with the Russian mafia',no_travel
'buy sigarettes',no_travel
'buy a good computer',no_travel
'make a dinner and eat it',no_travel
'go to the hairdresser and cut your hair',no_travel
'finish this report on time',no_travel
